BADGEID,COMPANY,JOBTITLE,COUNTRY,BUSINESS_FOCUS,RESPONSIBILITY,FUNCTION,INSTITUTION_TYPE,AGE_RANGE,TICKETDETAILS,SESSIONGROUP,SESSIONNAME,SESSIONDATE,SESSIONTIME,ATTEND_TIME,ATTEND_DAY,ROOM,ROOMCODE,STREAM
8718469,Information Partners,,United Kingdom,Not selected,Not selected,Not selected,Not selected,Not selected,Conference Staff pass with lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:20:31,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8718469,Information Partners,,United Kingdom,Not selected,Not selected,Not selected,Not selected,Not selected,Conference Staff pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:53:20,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8718469,Information Partners,,United Kingdom,Not selected,Not selected,Not selected,Not selected,Not selected,Conference Staff pass with lunch,NORMAL,Corporate Forum Opening Address Day 2: Designing the industry’s digital trade agenda,10/15/15,8:30,8:42:44,15-Oct-15,Conference room 1,CR1,Corporate Forum
8718469,Information Partners,,United Kingdom,Not selected,Not selected,Not selected,Not selected,Not selected,Conference Staff pass with lunch,NORMAL,Intraday liquidity reporting: How has the industry progressed?,10/15/15,10:15,10:27:22,15-Oct-15,Conference room 3,CR3,Payments
8711528,SWIFT,HR Partner,Belgium,Payments,Technology Operations,Analyst/Consultant,Corporate,41 to 50,SWIFT Business Team Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:52:41,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8606248,SWIFT,,United States,Cash Management,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,"SWIFT for Corporates – Defining win-win strategies in multi-banking treasury management
",10/15/15,13:30,13:33:46,15-Oct-15,SWIFT Auditorium,SA,Corporate Forum
8606248,SWIFT,,United States,Cash Management,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,Lifecycle of a corporate on SWIFT,10/15/15,9:30,9:56:59,15-Oct-15,SWIFTLab,SWLA,SWIFTLab
8741844,BANK OF GHANA,Manager,Ghana,Payments,Information Technology,Departmental Manager,Central Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:21:50,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8741844,BANK OF GHANA,Manager,Ghana,Payments,Information Technology,Departmental Manager,Central Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:05:59,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8741844,BANK OF GHANA,Manager,Ghana,Payments,Information Technology,Departmental Manager,Central Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,Innotribe closing keynote: Machines are not the answer,10/15/15,15:15,15:51:01,15-Oct-15,Innotribe,INN,Innotribe
8833812,Indonesian Central Securities Depository,Head Unit,Indonesia,Securities,Business Development/Strategy,Departmental Manager,Custodian,31 to 40,Complimentary Week-long Participant Pass with lunch,NORMAL,ASEAN exchanges and securities workshop,10/15/15,14:00,13:56:10,15-Oct-15,Conference room 3,CR3,ASEAN
8833812,Indonesian Central Securities Depository,Head Unit,Indonesia,Securities,Business Development/Strategy,Departmental Manager,Custodian,31 to 40,Complimentary Week-long Participant Pass with lunch,COMMUNITY,How ASEAN+3 connects bond markets towards more integrated markets,10/15/15,12:45,12:56:44,15-Oct-15,Conference room 4,CR4,Community
8657058,SWIFT,SWIFTLab Solutions Architect,Belgium,Payments,Information Technology,Analyst/Consultant,Software Vendor / Consultancy,31 to 40,SWIFT Business Team Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:51:24,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8624211,Bottomline Technologies,"GM & Director, Payments",United Kingdom,Payments,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass - Exhibitor voucher used with lunch,NORMAL,ASEAN banking conversation,10/15/15,10:00,9:50:10,15-Oct-15,Conference room 2,CR2,ASEAN
8624211,Bottomline Technologies,"GM & Director, Payments",United Kingdom,Payments,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass - Exhibitor voucher used with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:39:34,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8624211,Bottomline Technologies,"GM & Director, Payments",United Kingdom,Payments,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass - Exhibitor voucher used with lunch,COMMUNITY,The Lifecycle of Payments ,10/15/15,9:00,8:58:31,15-Oct-15,Conference room 4,CR4,Community
8624211,Bottomline Technologies,"GM & Director, Payments",United Kingdom,Payments,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass - Exhibitor voucher used with lunch,NORMAL,Corporate onboarding: The MyStandards way,10/15/15,10:30,10:08:31,15-Oct-15,SWIFT Auditorium,SA,Corporate Forum
8867271,George P Johnson,,United Kingdom,Not selected,Not selected,Not selected,Not selected,Not selected,Contractor Pass without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:41:33,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8781537,Intellect Design Arena Limited - A Polaris Group Company,Strategic Initiatives & Risk Products,United Kingdom,Payments,Business Development/Strategy,Section Head/Supervisor,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Corporate onboarding: The MyStandards way,10/15/15,10:30,10:34:48,15-Oct-15,SWIFT Auditorium,SA,Corporate Forum
8606559,SWIFT,Managing Director,United Kingdom,Payments,Sales,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,SWIFT Business Team Pass with lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:29:38,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8606559,SWIFT,Managing Director,United Kingdom,Payments,Sales,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,SWIFT Business Team Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:57:29,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8606559,SWIFT,Managing Director,United Kingdom,Payments,Sales,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,SWIFT Business Team Pass with lunch,NORMAL,Alternative financing models: Opportunities or threats for banks?,10/15/15,10:15,10:56:33,15-Oct-15,Conference room 1,CR1,Corporate Forum
8606559,SWIFT,Managing Director,United Kingdom,Payments,Sales,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,SWIFT Business Team Pass with lunch,NORMAL,Bank readiness in trade finance: The voice of the corporate and banking community,10/15/15,14:00,13:58:06,15-Oct-15,Conference room 5,CR5,Corporate Forum
8851108,Oracle,Director,Singapore,Payments,Innovation,Section Head/Supervisor,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:40:21,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8851108,Oracle,Director,Singapore,Payments,Innovation,Section Head/Supervisor,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Analytics for a real-time world,10/15/15,14:00,14:50:00,15-Oct-15,Innotribe,INN,Innotribe
8851108,Oracle,Director,Singapore,Payments,Innovation,Section Head/Supervisor,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Innotribe closing keynote: Machines are not the answer,10/15/15,15:15,15:52:21,15-Oct-15,Innotribe,INN,Innotribe
8851108,Oracle,Director,Singapore,Payments,Innovation,Section Head/Supervisor,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Thinking machines and jobs: How banks can respond to the opportunity,10/15/15,12:45,12:57:10,15-Oct-15,Innotribe,INN,Innotribe
8851108,Oracle,Director,Singapore,Payments,Innovation,Section Head/Supervisor,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass without lunch,NORMAL,Voice of the customer 3.0,10/15/15,10:15,11:17:54,15-Oct-15,Innotribe,INN,Innotribe
8606565,SWIFT,Head of Nordics,Sweden,Payments,Sales,Departmental Manager,Payments Market Infrastructure,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:57:55,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8606565,SWIFT,Head of Nordics,Sweden,Payments,Sales,Departmental Manager,Payments Market Infrastructure,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,Innotribe closing keynote: Machines are not the answer,10/15/15,15:15,15:50:25,15-Oct-15,Innotribe,INN,Innotribe
8840042,", treasury & tech freelancer",Freelance Journalist,United Kingdom,Payments,Technology Operations,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Press Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:02:23,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8840042,", treasury & tech freelancer",Freelance Journalist,United Kingdom,Payments,Technology Operations,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Press Pass with lunch,NORMAL,Intraday liquidity reporting: How has the industry progressed?,10/15/15,10:15,10:15:20,15-Oct-15,Conference room 3,CR3,Payments
8826865,ADB,Senior Advisor,Philippines,Payments,Financial Operations,Section Head/Supervisor,Investment Bank,51 to 60,Complimentary Day Pass with lunch,NORMAL,ASEAN exchanges and securities workshop,10/15/15,14:00,14:48:16,15-Oct-15,Conference room 3,CR3,ASEAN
8826865,ADB,Senior Advisor,Philippines,Payments,Financial Operations,Section Head/Supervisor,Investment Bank,51 to 60,Complimentary Day Pass with lunch,COMMUNITY,How ASEAN+3 connects bond markets towards more integrated markets,10/15/15,12:45,12:33:12,15-Oct-15,Conference room 4,CR4,Community
8826865,ADB,Senior Advisor,Philippines,Payments,Financial Operations,Section Head/Supervisor,Investment Bank,51 to 60,Complimentary Day Pass with lunch,COMMUNITY,"ISO 20022 adoption in ASEAN+3, Europe, and U.S - Opportunities and challenges including possible services such as cross-border CSD-RTGS linkages",10/15/15,9:00,8:42:30,15-Oct-15,Conference room 5,CR5,Community
8826865,ADB,Senior Advisor,Philippines,Payments,Financial Operations,Section Head/Supervisor,Investment Bank,51 to 60,Complimentary Day Pass with lunch,NORMAL,Intraday liquidity reporting: How has the industry progressed?,10/15/15,10:15,10:16:01,15-Oct-15,Conference room 3,CR3,Payments
8826865,ADB,Senior Advisor,Philippines,Payments,Financial Operations,Section Head/Supervisor,Investment Bank,51 to 60,Complimentary Day Pass with lunch,NORMAL,Capital market harmonisation: How to align market liberalisation and regulatory supervision?,10/15/15,10:15,10:06:28,15-Oct-15,Conference room 4,CR4,Securities
8825780,BBK,AGM Operations,Bahrain,Payments,Financial Operations,Vice President/ Functional Head,Commercial Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,Bank readiness in trade finance: The voice of the corporate and banking community,10/15/15,14:00,14:08:44,15-Oct-15,Conference room 5,CR5,Corporate Forum
8797930,Indonesian Central Securities Depository ,"Head, Central Depository Services Division",Indonesia,Securities,Business Development/Strategy,Vice President/ Functional Head,Custodian,41 to 50,Complimentary Week-long Participant Pass with lunch,NORMAL,ASEAN exchanges and securities workshop,10/15/15,14:00,13:56:07,15-Oct-15,Conference room 3,CR3,ASEAN
8797930,Indonesian Central Securities Depository ,"Head, Central Depository Services Division",Indonesia,Securities,Business Development/Strategy,Vice President/ Functional Head,Custodian,41 to 50,Complimentary Week-long Participant Pass with lunch,COMMUNITY,How ASEAN+3 connects bond markets towards more integrated markets,10/15/15,12:45,12:56:45,15-Oct-15,Conference room 4,CR4,Community
8811435,UBS AG,Executive Director,Switzerland,Securities,Sales,Vice President/ Functional Head,Commercial Bank,51 to 60,Week-long Participant Pass without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:54:11,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8858163,SAUDI ARABIAN MONETARY AGENCY,Business Relationship Manager,Saudi Arabia,Trade Services,Business Development/Strategy,Relationship Manager,Central Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,ASEAN exchanges and securities workshop,10/15/15,14:00,14:44:26,15-Oct-15,Conference room 3,CR3,ASEAN
8858163,SAUDI ARABIAN MONETARY AGENCY,Business Relationship Manager,Saudi Arabia,Trade Services,Business Development/Strategy,Relationship Manager,Central Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:21:39,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8858163,SAUDI ARABIAN MONETARY AGENCY,Business Relationship Manager,Saudi Arabia,Trade Services,Business Development/Strategy,Relationship Manager,Central Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,"SWIFT for Securities: Insights into compliance and efficiency 
",10/15/15,9:30,9:36:36,15-Oct-15,SWIFT Auditorium,SA,Securities
8741539,CENTRAL BANK OF OMAN Greater Muttrah,IN CHARGE COMMUNICATIONS/ SWIFT ,Oman,Payments,Financial Operations,Section Head/Supervisor,Central Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:48:50,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8741539,CENTRAL BANK OF OMAN Greater Muttrah,IN CHARGE COMMUNICATIONS/ SWIFT ,Oman,Payments,Financial Operations,Section Head/Supervisor,Central Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:37:58,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8741539,CENTRAL BANK OF OMAN Greater Muttrah,IN CHARGE COMMUNICATIONS/ SWIFT ,Oman,Payments,Financial Operations,Section Head/Supervisor,Central Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Intraday liquidity reporting: How has the industry progressed?,10/15/15,10:15,10:16:12,15-Oct-15,Conference room 3,CR3,Payments
8741539,CENTRAL BANK OF OMAN Greater Muttrah,IN CHARGE COMMUNICATIONS/ SWIFT ,Oman,Payments,Financial Operations,Section Head/Supervisor,Central Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Business Intelligence for Securities: Watch for your data,10/15/15,11:00,11:05:47,15-Oct-15,SWIFTLab,SWLA,SWIFTLab
8741539,CENTRAL BANK OF OMAN Greater Muttrah,IN CHARGE COMMUNICATIONS/ SWIFT ,Oman,Payments,Financial Operations,Section Head/Supervisor,Central Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,"SWIFT for Securities: Insights into compliance and efficiency 
",10/15/15,9:30,9:18:44,15-Oct-15,SWIFT Auditorium,SA,Securities
8575047,CENTRAL BANK OF OMAN,"Senior Manager, International Settlement Dept.",Oman,Cash Management,Financial Operations,Departmental Manager,Central Bank,51 to 60,Chairpersons Pass,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:49:45,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8575047,CENTRAL BANK OF OMAN,"Senior Manager, International Settlement Dept.",Oman,Cash Management,Financial Operations,Departmental Manager,Central Bank,51 to 60,Chairpersons Pass,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:38:02,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8575047,CENTRAL BANK OF OMAN,"Senior Manager, International Settlement Dept.",Oman,Cash Management,Financial Operations,Departmental Manager,Central Bank,51 to 60,Chairpersons Pass,COMMUNITY,"Data governance insights: Challenges, impacts and opportunities ",10/15/15,10:15,10:12:49,15-Oct-15,Conference room 5,CR5,Community
8751856,SAUDI ARABIAN MONETARY AGENCY,Business,Saudi Arabia,Payments,Business Development/Strategy,Departmental Manager,Central Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:20:36,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8816875,SWIFT,Director,Hong Kong,Payments,Marketing,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,SWIFT Business Team Pass with lunch,NORMAL,Lite2 cash reporting dashboard for corporates,10/15/15,11:45,11:58:13,15-Oct-15,SWIFTLab,SWLA,SWIFTLab
8742738,CENTRAL BANK OF LIBYA,swift gateway project manager ,Libya,Payments,Financial Operations,Relationship Manager,Central Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Lifecycle of a corporate on SWIFT,10/15/15,9:30,10:28:47,15-Oct-15,SWIFTLab,SWLA,SWIFTLab
8841623,"INDIAN BANK, SINGAPORE BRANCH",CHIEF EXECUTIVE OFFICER,Singapore,Trade Services,Business Development/Strategy,Board Member / CEO / CFO,Commercial Bank,51 to 60,Week-long Participant Pass - Exhibitor voucher used without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:40:02,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8801967,BANQUE SAUDI FRANSI HEAD OFFICE,Head of Corporate Product Development,Saudi Arabia,Cash Management,Product Management,Vice President/ Functional Head,Commercial Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:42:30,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8801967,BANQUE SAUDI FRANSI HEAD OFFICE,Head of Corporate Product Development,Saudi Arabia,Cash Management,Product Management,Vice President/ Functional Head,Commercial Bank,31 to 40,Week-long Participant Pass without lunch,COMMUNITY,Making real-time payments a reality: EBA CLEARING’s pan-European approach,10/15/15,14:15,14:30:02,15-Oct-15,Conference room 4,CR4,Community
8843167,IBM,Architect,Russia,Payments,Information Technology,Account Manager,Software Vendor / Consultancy,21 to 30,Week-long Participant Pass without lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:27:33,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8742905,Al Nile Bank for Commerce and Development Co.,General Manager,Sudan,Trade Services,Business Development/Strategy,Managing Director/ Director / EVP,Commercial Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:27:15,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8742905,Al Nile Bank for Commerce and Development Co.,General Manager,Sudan,Trade Services,Business Development/Strategy,Managing Director/ Director / EVP,Commercial Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:37:40,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8742905,Al Nile Bank for Commerce and Development Co.,General Manager,Sudan,Trade Services,Business Development/Strategy,Managing Director/ Director / EVP,Commercial Bank,51 to 60,Week-long Participant Pass with lunch,COMMUNITY,Making real-time payments a reality: EBA CLEARING’s pan-European approach,10/15/15,14:15,14:30:51,15-Oct-15,Conference room 4,CR4,Community
8790138,SAUDI ARABIAN MONETARY AGENCY,Payment Developer/ Project Manager ,Saudi Arabia,Payments,Business Development/Strategy,Account Manager,Central Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,ASEAN banking conversation,10/15/15,10:00,11:02:14,15-Oct-15,Conference room 2,CR2,ASEAN
8790138,SAUDI ARABIAN MONETARY AGENCY,Payment Developer/ Project Manager ,Saudi Arabia,Payments,Business Development/Strategy,Account Manager,Central Bank,21 to 30,Week-long Participant Pass without lunch,COMMUNITY,Making real-time payments a reality: EBA CLEARING’s pan-European approach,10/15/15,14:15,14:11:32,15-Oct-15,Conference room 4,CR4,Community
8747457,ABU DHABI INVESTMENT AUTHORITY,Senior Specialist,United Arab Emirates,Payments,Standards,Analyst/Consultant,Investment Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:11:56,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8747457,ABU DHABI INVESTMENT AUTHORITY,Senior Specialist,United Arab Emirates,Payments,Standards,Analyst/Consultant,Investment Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,"SWIFT for Corporates – Defining win-win strategies in multi-banking treasury management
",10/15/15,13:30,13:22:13,15-Oct-15,SWIFT Auditorium,SA,Corporate Forum
8747457,ABU DHABI INVESTMENT AUTHORITY,Senior Specialist,United Arab Emirates,Payments,Standards,Analyst/Consultant,Investment Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,"SWIFT for Securities: Insights into compliance and efficiency 
",10/15/15,9:30,9:33:28,15-Oct-15,SWIFT Auditorium,SA,Securities
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,ASEAN Day Opening,10/15/15,9:00,9:02:53,15-Oct-15,Conference room 2,CR2,ASEAN
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,ASEAN financial and economic integration workshop,10/15/15,14:00,15:12:15,15-Oct-15,Conference room 1,CR1,ASEAN
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:41:07,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:10:58,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,Alternative financing models: Opportunities or threats for banks?,10/15/15,10:15,10:10:09,15-Oct-15,Conference room 1,CR1,Corporate Forum
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,Securities financing: A necessary evil for corporates and asset managers?,10/15/15,14:00,14:08:00,15-Oct-15,Workshop C,WSC,Corporate Forum
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,Thinking machines and jobs: How banks can respond to the opportunity,10/15/15,12:45,12:41:54,15-Oct-15,Innotribe,INN,Innotribe
8834671,ProgressSoft Corporation,Business Consultant,Jordan,Payments,Business Development/Strategy,Account Manager,Software Vendor / Consultancy,31 to 40,Week-long Participant Pass without lunch,COMMUNITY,Making real-time payments a reality: EBA CLEARING’s pan-European approach,10/15/15,14:15,14:04:42,15-Oct-15,Conference room 4,CR4,Community
8834671,ProgressSoft Corporation,Business Consultant,Jordan,Payments,Business Development/Strategy,Account Manager,Software Vendor / Consultancy,31 to 40,Week-long Participant Pass without lunch,COMMUNITY,The Lifecycle of Payments ,10/15/15,9:00,9:15:14,15-Oct-15,Conference room 4,CR4,Community
8834671,ProgressSoft Corporation,Business Consultant,Jordan,Payments,Business Development/Strategy,Account Manager,Software Vendor / Consultancy,31 to 40,Week-long Participant Pass without lunch,NORMAL,Capital market harmonisation: How to align market liberalisation and regulatory supervision?,10/15/15,10:15,10:01:49,15-Oct-15,Conference room 4,CR4,Securities
8830716,MINISTERIO DAS FINANCAS,Official Analyst at Treasury Department,Angola,Cash Management,Financial Operations,Analyst/Consultant,Corporate,41 to 50,Week-long Participant Pass with lunch,NORMAL,ASEAN banking conversation,10/15/15,10:00,10:09:46,15-Oct-15,Conference room 2,CR2,ASEAN
8767213,ASIAN DEVELOPMENT BANK,Treasury Officer,Philippines,Payments,Information Technology,Section Head/Supervisor,Investment Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,ASEAN Day Opening,10/15/15,9:00,9:02:18,15-Oct-15,Conference room 2,CR2,ASEAN
8767213,ASIAN DEVELOPMENT BANK,Treasury Officer,Philippines,Payments,Information Technology,Section Head/Supervisor,Investment Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,ASEAN financial and economic integration workshop,10/15/15,14:00,13:56:51,15-Oct-15,Conference room 1,CR1,ASEAN
