BADGEID,COMPANY,JOBTITLE,COUNTRY,BUSINESS_FOCUS,RESPONSIBILITY,FUNCTION,INSTITUTION_TYPE,AGE_RANGE,TICKETDETAILS,SESSIONGROUP,SESSIONNAME,SESSIONDATE,SESSIONTIME,ATTEND_TIME,ATTEND_DAY,ROOM,ROOMCODE,STREAM
8569975,SVENSKA HANDELSBANKEN,Global Head of Financial Institutions,Sweden,Trade Services,Business Development/Strategy,Departmental Manager,Commercial Bank,51 to 60,Week-long Participant Pass without lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:16:43,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8569975,SVENSKA HANDELSBANKEN,Global Head of Financial Institutions,Sweden,Trade Services,Business Development/Strategy,Departmental Manager,Commercial Bank,51 to 60,Week-long Participant Pass without lunch,NORMAL,Compliance back to the future ,10/14/15,10:15,10:59:10,14-Oct-15,Conference room 2,CR2,Compliance Forum
8556816,BANK OF PALESTINE PLC,ASSIST GENERAL MANAGER (INFORMATION TECHNOLOGY),Palestina,Payments,Information Technology,Vice President/ Functional Head,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,"Despite what you heard, colour does matter!",10/14/15,9:30,9:48:04,14-Oct-15,Conference room 3,CR3,Diversity
8606559,SWIFT,Managing Director,United Kingdom,Payments,Sales,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,SWIFT Business Team Pass with lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:28:18,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8606559,SWIFT,Managing Director,United Kingdom,Payments,Sales,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,SWIFT Business Team Pass with lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:08:39,14-Oct-15,Conference room 5,CR5,Community
8839048,BANK PASARGAD BANK PASARGAD,Expert of Swift Section,Iran,Payments,Financial Operations,Analyst/Consultant,Commercial Bank,21 to 30,Week-long Participant Pass with lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:31:21,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8839048,BANK PASARGAD BANK PASARGAD,Expert of Swift Section,Iran,Payments,Financial Operations,Analyst/Consultant,Commercial Bank,21 to 30,Week-long Participant Pass with lunch,NORMAL,"Empower your compliance teams with insights from SWIFT’s compliance analytics
",10/14/15,15:30,15:31:10,14-Oct-15,SWIFT Auditorium,SA,Compliance Forum
8839048,BANK PASARGAD BANK PASARGAD,Expert of Swift Section,Iran,Payments,Financial Operations,Analyst/Consultant,Commercial Bank,21 to 30,Week-long Participant Pass with lunch,NORMAL,Capturing new payments transactions opportunities from developing trade corridors,10/14/15,10:15,10:03:42,14-Oct-15,Conference room 4,CR4,Payments
8839048,BANK PASARGAD BANK PASARGAD,Expert of Swift Section,Iran,Payments,Financial Operations,Analyst/Consultant,Commercial Bank,21 to 30,Week-long Participant Pass with lunch,NORMAL,"SWIFTRef, come and see how to improve straight-through processing of your payments",10/14/15,9:15,9:10:51,14-Oct-15,SWIFTLab,SWLA,SWIFTLab
8606565,SWIFT,Head of Nordics,Sweden,Payments,Sales,Departmental Manager,Payments Market Infrastructure,51 to 60,SWIFT Business Team Pass with lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:11:32,14-Oct-15,Conference room 5,CR5,Community
8809450,NATIONAL BANK OF KENYA,Managing Director,Kenya,Cash Management,Business Development/Strategy,Board Member / CEO / CFO,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,"Empower your compliance teams with insights from SWIFT’s compliance analytics
",10/14/15,15:30,15:43:30,14-Oct-15,SWIFT Auditorium,SA,Compliance Forum
8809450,NATIONAL BANK OF KENYA,Managing Director,Kenya,Cash Management,Business Development/Strategy,Board Member / CEO / CFO,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Efficiency as a service (EaaS) – The SWIFT community cloud ,10/14/15,14:30,14:27:45,14-Oct-15,SWIFT Auditorium,SA,Corporate Forum
8840042,", treasury & tech freelancer",Freelance Journalist,United Kingdom,Payments,Technology Operations,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Press Pass with lunch,COMMUNITY,"24/7 real-time payment initiatives, Asian perspective - Part 2",10/14/15,14:00,13:55:04,14-Oct-15,Conference room 5,CR5,Community
8806302,TD Bank Group,"VP, Enterprise Payments Technology",Canada,Payments,Information Technology,Vice President/ Functional Head,Commercial Bank,41 to 50,Week-long Participant Pass without lunch,COMMUNITY,Thrive or die - Why not piggy back innovation on regulation?,10/14/15,9:00,8:44:38,14-Oct-15,Conference room 4,CR4,Community
8858163,SAUDI ARABIAN MONETARY AGENCY,Business Relationship Manager,Saudi Arabia,Trade Services,Business Development/Strategy,Relationship Manager,Central Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,Securities transparency: Is this the next frontier? ,10/14/15,9:00,9:50:06,14-Oct-15,Conference room 2,CR2,Compliance Forum
8858163,SAUDI ARABIAN MONETARY AGENCY,Business Relationship Manager,Saudi Arabia,Trade Services,Business Development/Strategy,Relationship Manager,Central Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,Treasury management practices in Asia: Which key models prevail in the region?,10/14/15,10:15,10:07:49,14-Oct-15,Conference room 1,CR1,Corporate Forum
8741539,CENTRAL BANK OF OMAN Greater Muttrah,IN CHARGE COMMUNICATIONS/ SWIFT ,Oman,Payments,Financial Operations,Section Head/Supervisor,Central Bank,41 to 50,Week-long Participant Pass with lunch,COMMUNITY,Payments fraud: How to de-risk mission-critical business transactions ,10/14/15,15:30,15:45:17,14-Oct-15,Conference room 5,CR5,Community
8741539,CENTRAL BANK OF OMAN Greater Muttrah,IN CHARGE COMMUNICATIONS/ SWIFT ,Oman,Payments,Financial Operations,Section Head/Supervisor,Central Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,"Empower your compliance teams with insights from SWIFT’s compliance analytics
",10/14/15,15:30,15:29:34,14-Oct-15,SWIFT Auditorium,SA,Compliance Forum
8741539,CENTRAL BANK OF OMAN Greater Muttrah,IN CHARGE COMMUNICATIONS/ SWIFT ,Oman,Payments,Financial Operations,Section Head/Supervisor,Central Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,"SWIFT for Real-Time Payments
",10/14/15,9:30,9:29:39,14-Oct-15,SWIFT Auditorium,SA,Payments
8741539,CENTRAL BANK OF OMAN Greater Muttrah,IN CHARGE COMMUNICATIONS/ SWIFT ,Oman,Payments,Financial Operations,Section Head/Supervisor,Central Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Messaging for corresponding banking on SWIFT (Lite2 and sanctions screening),10/14/15,14:30,14:40:40,14-Oct-15,SWIFTLab,SWLA,SWIFTLab
8575047,CENTRAL BANK OF OMAN,"Senior Manager, International Settlement Dept.",Oman,Cash Management,Financial Operations,Departmental Manager,Central Bank,51 to 60,Chairpersons Pass,NORMAL,"Despite what you heard, colour does matter!",10/14/15,9:30,9:16:58,14-Oct-15,Conference room 3,CR3,Diversity
8575047,CENTRAL BANK OF OMAN,"Senior Manager, International Settlement Dept.",Oman,Cash Management,Financial Operations,Departmental Manager,Central Bank,51 to 60,Chairpersons Pass,NORMAL,How to create and sustain a diverse talent pipeline,10/14/15,10:15,10:51:29,14-Oct-15,Conference room 3,CR3,Diversity
8751856,SAUDI ARABIAN MONETARY AGENCY,Business,Saudi Arabia,Payments,Business Development/Strategy,Departmental Manager,Central Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:40:12,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8751856,SAUDI ARABIAN MONETARY AGENCY,Business,Saudi Arabia,Payments,Business Development/Strategy,Departmental Manager,Central Bank,41 to 50,Week-long Participant Pass without lunch,COMMUNITY,Who's driving the future of payments anyway?,10/14/15,15:30,15:24:57,14-Oct-15,Conference room 3,CR3,Community
8751856,SAUDI ARABIAN MONETARY AGENCY,Business,Saudi Arabia,Payments,Business Development/Strategy,Departmental Manager,Central Bank,41 to 50,Week-long Participant Pass without lunch,COMMUNITY,Thrive or die - Why not piggy back innovation on regulation?,10/14/15,9:00,9:19:16,14-Oct-15,Conference room 4,CR4,Community
8751856,SAUDI ARABIAN MONETARY AGENCY,Business,Saudi Arabia,Payments,Business Development/Strategy,Departmental Manager,Central Bank,41 to 50,Week-long Participant Pass without lunch,COMMUNITY,"24/7 real-time payment initiatives, Asian perspective - Part 2",10/14/15,14:00,13:50:25,14-Oct-15,Conference room 5,CR5,Community
8574669,Saudi Arabian Monetary Agency,General Manager,Saudi Arabia,Payments,Information Technology,Managing Director/ Director / EVP,Central Bank,41 to 50,Chairpersons Pass,NORMAL,Why banks need FinTech hubs,10/14/15,12:45,13:26:02,14-Oct-15,Innotribe,INN,Innotribe
8841623,"INDIAN BANK, SINGAPORE BRANCH",CHIEF EXECUTIVE OFFICER,Singapore,Trade Services,Business Development/Strategy,Board Member / CEO / CFO,Commercial Bank,51 to 60,Week-long Participant Pass - Exhibitor voucher used without lunch,NORMAL,The future of corporate banking – What do corporate clients expect from banks? ,10/14/15,9:00,9:50:35,14-Oct-15,Conference room 1,CR1,Corporate Forum
8801967,BANQUE SAUDI FRANSI HEAD OFFICE,Head of Corporate Product Development,Saudi Arabia,Cash Management,Product Management,Vice President/ Functional Head,Commercial Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:40:12,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8801967,BANQUE SAUDI FRANSI HEAD OFFICE,Head of Corporate Product Development,Saudi Arabia,Cash Management,Product Management,Vice President/ Functional Head,Commercial Bank,31 to 40,Week-long Participant Pass without lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:36:00,14-Oct-15,Conference room 5,CR5,Community
8801967,BANQUE SAUDI FRANSI HEAD OFFICE,Head of Corporate Product Development,Saudi Arabia,Cash Management,Product Management,Vice President/ Functional Head,Commercial Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,Why banks need FinTech hubs,10/14/15,12:45,13:09:40,14-Oct-15,Innotribe,INN,Innotribe
8801967,BANQUE SAUDI FRANSI HEAD OFFICE,Head of Corporate Product Development,Saudi Arabia,Cash Management,Product Management,Vice President/ Functional Head,Commercial Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,Capturing new payments transactions opportunities from developing trade corridors,10/14/15,10:15,10:09:01,14-Oct-15,Conference room 4,CR4,Payments
8801967,BANQUE SAUDI FRANSI HEAD OFFICE,Head of Corporate Product Development,Saudi Arabia,Cash Management,Product Management,Vice President/ Functional Head,Commercial Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,"SWIFT for Real-Time Payments
",10/14/15,9:30,9:56:49,14-Oct-15,SWIFT Auditorium,SA,Payments
8801967,BANQUE SAUDI FRANSI HEAD OFFICE,Head of Corporate Product Development,Saudi Arabia,Cash Management,Product Management,Vice President/ Functional Head,Commercial Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,Alliance Messaging Hub,10/14/15,12:00,12:16:53,14-Oct-15,SWIFTLab,SWLA,SWIFTLab
8843167,IBM,Architect,Russia,Payments,Information Technology,Account Manager,Software Vendor / Consultancy,21 to 30,Week-long Participant Pass without lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:15:30,14-Oct-15,Conference room 5,CR5,Community
8742905,Al Nile Bank for Commerce and Development Co.,General Manager,Sudan,Trade Services,Business Development/Strategy,Managing Director/ Director / EVP,Commercial Bank,51 to 60,Week-long Participant Pass with lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:16:14,14-Oct-15,Conference room 5,CR5,Community
8790138,SAUDI ARABIAN MONETARY AGENCY,Payment Developer/ Project Manager ,Saudi Arabia,Payments,Business Development/Strategy,Account Manager,Central Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:40:15,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8790138,SAUDI ARABIAN MONETARY AGENCY,Payment Developer/ Project Manager ,Saudi Arabia,Payments,Business Development/Strategy,Account Manager,Central Bank,21 to 30,Week-long Participant Pass without lunch,COMMUNITY,Who's driving the future of payments anyway?,10/14/15,15:30,15:29:27,14-Oct-15,Conference room 3,CR3,Community
8790138,SAUDI ARABIAN MONETARY AGENCY,Payment Developer/ Project Manager ,Saudi Arabia,Payments,Business Development/Strategy,Account Manager,Central Bank,21 to 30,Week-long Participant Pass without lunch,COMMUNITY,U.S. stakeholder group update on ISO 20022 implementation,10/14/15,14:00,13:50:21,14-Oct-15,Conference room 4,CR4,Community
8747457,ABU DHABI INVESTMENT AUTHORITY,Senior Specialist,United Arab Emirates,Payments,Standards,Analyst/Consultant,Investment Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:30:03,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8747457,ABU DHABI INVESTMENT AUTHORITY,Senior Specialist,United Arab Emirates,Payments,Standards,Analyst/Consultant,Investment Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,Treasury management practices in Asia: Which key models prevail in the region?,10/14/15,10:15,10:19:05,14-Oct-15,Conference room 1,CR1,Corporate Forum
8747457,ABU DHABI INVESTMENT AUTHORITY,Senior Specialist,United Arab Emirates,Payments,Standards,Analyst/Consultant,Investment Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,Efficiency as a service (EaaS) – The SWIFT community cloud ,10/14/15,14:30,14:49:15,14-Oct-15,SWIFT Auditorium,SA,Corporate Forum
8747457,ABU DHABI INVESTMENT AUTHORITY,Senior Specialist,United Arab Emirates,Payments,Standards,Analyst/Consultant,Investment Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,"SWIFT for Real-Time Payments
",10/14/15,9:30,9:33:29,14-Oct-15,SWIFT Auditorium,SA,Payments
8747457,ABU DHABI INVESTMENT AUTHORITY,Senior Specialist,United Arab Emirates,Payments,Standards,Analyst/Consultant,Investment Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,Asset servicing: Issuer to investor automation,10/14/15,14:00,14:07:28,14-Oct-15,Workshop A,WSA,Securities
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:37:23,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:11:53,14-Oct-15,Conference room 5,CR5,Community
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,Corporate Forum Opening Address Day 1: Shaping the future of treasury and trade,10/14/15,8:30,8:47:51,14-Oct-15,Conference room 1,CR1,Corporate Forum
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,The future of corporate banking – What do corporate clients expect from banks? ,10/14/15,9:00,9:49:47,14-Oct-15,Conference room 1,CR1,Corporate Forum
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,ERP vs. TMS vs. Excel - Friends or rivals?,10/14/15,14:00,14:19:08,14-Oct-15,Conference room 1,CR1,Corporate Forum
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,Innotribe Startup Challenge Finale,10/14/15,14:00,15:20:18,14-Oct-15,Conference room 2,CR2,Innotribe
8871557,Bank of America Merrill Lynch,Vice President,Singapore,Cash Management,Technology Operations,Analyst/Consultant,Investment Bank,21 to 30,Week-long Participant Pass without lunch,NORMAL,Why banks need FinTech hubs,10/14/15,12:45,13:43:33,14-Oct-15,Innotribe,INN,Innotribe
8834671,ProgressSoft Corporation,Business Consultant,Jordan,Payments,Business Development/Strategy,Account Manager,Software Vendor / Consultancy,31 to 40,Week-long Participant Pass without lunch,COMMUNITY,Who's driving the future of payments anyway?,10/14/15,15:30,15:18:26,14-Oct-15,Conference room 3,CR3,Community
8834671,ProgressSoft Corporation,Business Consultant,Jordan,Payments,Business Development/Strategy,Account Manager,Software Vendor / Consultancy,31 to 40,Week-long Participant Pass without lunch,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:19:45,14-Oct-15,Conference room 5,CR5,Community
8830716,MINISTERIO DAS FINANCAS,Official Analyst at Treasury Department,Angola,Cash Management,Financial Operations,Analyst/Consultant,Corporate,41 to 50,Week-long Participant Pass with lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:28:00,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8830716,MINISTERIO DAS FINANCAS,Official Analyst at Treasury Department,Angola,Cash Management,Financial Operations,Analyst/Consultant,Corporate,41 to 50,Week-long Participant Pass with lunch,NORMAL,Treasury management practices in Asia: Which key models prevail in the region?,10/14/15,10:15,10:18:51,14-Oct-15,Conference room 1,CR1,Corporate Forum
8830716,MINISTERIO DAS FINANCAS,Official Analyst at Treasury Department,Angola,Cash Management,Financial Operations,Analyst/Consultant,Corporate,41 to 50,Week-long Participant Pass with lunch,NORMAL,"SWIFT for Real-Time Payments
",10/14/15,9:30,9:39:29,14-Oct-15,SWIFT Auditorium,SA,Payments
8767213,ASIAN DEVELOPMENT BANK,Treasury Officer,Philippines,Payments,Information Technology,Section Head/Supervisor,Investment Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:11:36,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8767213,ASIAN DEVELOPMENT BANK,Treasury Officer,Philippines,Payments,Information Technology,Section Head/Supervisor,Investment Bank,41 to 50,Week-long Participant Pass without lunch,COMMUNITY,Payments fraud: How to de-risk mission-critical business transactions ,10/14/15,15:30,15:23:34,14-Oct-15,Conference room 5,CR5,Community
8767213,ASIAN DEVELOPMENT BANK,Treasury Officer,Philippines,Payments,Information Technology,Section Head/Supervisor,Investment Bank,41 to 50,Week-long Participant Pass without lunch,NORMAL,Treasury management practices in Asia: Which key models prevail in the region?,10/14/15,10:15,10:16:08,14-Oct-15,Conference room 1,CR1,Corporate Forum
